# Time-averaged data for fix myke1
# TimeStep v_totKe
3730000 46099.7
3740000 45978.2
3750000 46072.9
3760000 46056.6
3770000 45974.8
3780000 46154.6
3790000 46044.2
3800000 46125.7
3810000 46039.1
3820000 46150.7
3830000 46112.7
3840000 45975.2
3850000 45991.4
3860000 46107.4
3870000 46056.2
3880000 46072.6
3890000 46112.8
3900000 46066.7
3910000 46050.5
3920000 46016.8
3930000 46114.6
3940000 46037
3950000 45987.2
3960000 45877.3
3970000 46111.6
3980000 46052.7
3990000 46155.9
4000000 45879.1
4010000 45943.6
4020000 46095.3
4030000 46036.8
4040000 45950.1
4050000 46259.8
4060000 46138.7
4070000 45949.5
4080000 46082.2
4090000 46072.9
4100000 46184.4
4110000 46103.2
4120000 46132.3
4130000 45941.1
4140000 46045.4
4150000 46145.4
4160000 46119.2
4170000 46049.5
4180000 46086.4
4190000 46122.9
4200000 46086.5
4210000 46144.9
4220000 46051.5
4230000 46060.7
4240000 46111.2
4250000 46070
4260000 46163.1
4270000 45998
4280000 46204
4290000 46113.8
4300000 46126.9
4310000 45957.5
4320000 46021.6
4330000 46030.7
4340000 46136.5
4350000 45958.7
4360000 45877.3
4370000 46105.3
4380000 46083.9
4390000 46077
4400000 46057.5
4410000 45951.7
4420000 46119.7
4430000 46179.7
4440000 46188.3
4450000 45938.6
4460000 46143
4470000 46051.9
4480000 46092.7
4490000 46104.8
4500000 45951.9
4510000 46199.1
4520000 46065.4
4530000 46094
4540000 46114
4550000 46027.1
4560000 46099.8
4570000 46093.3
4580000 46056.5
4590000 46123.7
4600000 45986.2
4610000 46121
4620000 46065.2
4630000 46044.7
4640000 45979.2
4650000 46117.6
4660000 46020.5
4670000 46076.9
4680000 46088.5
4690000 46065.4
4700000 46077.3
4710000 46072.5
4720000 46027
4730000 46107.5
4740000 46027.3
4750000 46129.7
4760000 46062.1
4770000 46100.8
4780000 46049.3
4790000 45974.3
4800000 45946.5
4810000 46184.4
4820000 46167.3
4830000 45930.6
4840000 45979.8
4850000 46035.7
4860000 46182.3
4870000 45953.4
4880000 45981.4
4890000 46034.9
4900000 46014.5
4910000 46052.3
4920000 46123.8
4930000 46097
4940000 46100.7
4950000 46074.8
4960000 46058.8
4970000 46044.9
4980000 46021.8
4990000 46014
5000000 46034.3
5010000 46119.5
5020000 46088.5
5030000 45923.9
5040000 46049.6
5050000 46216.7
5060000 45925.4
5070000 46031.2
5080000 46110.2
5090000 46084.4
5100000 46093.1
5110000 46067.3
5120000 46099.6
5130000 45991
5140000 46124.4
5150000 46005
5160000 45827.8
5170000 46025.7
5180000 46000.7
5190000 45963.1
5200000 46079.7
5210000 46109.6
5220000 46000.7
5230000 45897.1
5240000 46035.8
5250000 46223.9
5260000 45918.2
5270000 46121.1
5280000 45942.1
5290000 46056.7
5300000 46113.5
5310000 46009.3
5320000 45958.5
5330000 46061.5
5340000 46115.2
5350000 46081.8
5360000 46176.3
5370000 46074.1
5380000 46109.9
5390000 45947
5400000 46121.5
5410000 46034.4
5420000 46219.1
5430000 46198.2
5440000 45989.4
5450000 46196.3
5460000 46183.1
5470000 46146.9
5480000 46047.8
5490000 46022
5500000 46192.6
5510000 46065.5
5520000 45938.3
5530000 46029.7
5540000 46190.7
5550000 45915.7
5560000 46123.8
5570000 46083.5
5580000 46146.2
5590000 45957.2
5600000 45989.1
5610000 46084
5620000 46108.6
5630000 46126
5640000 46014.9
5650000 45971.3
5660000 46129.2
5670000 45947.3
5680000 46083.9
5690000 46046.5
5700000 46061.7
5710000 46078.6
5720000 46072.7
5730000 46099.4
5740000 46091.7
5750000 46190.5
5760000 46170.6
5770000 45877.7
5780000 45996.1
5790000 46187.2
5800000 46089.2
5810000 46138.6
5820000 46033.2
5830000 46170.6
5840000 46117.5
5850000 45998.5
5860000 46060.7
5870000 46168.3
5880000 46032.9
5890000 46160.5
5900000 46098.9
5910000 46104.9
5920000 46133
5930000 46199.4
5940000 46142.2
5950000 46114
5960000 46004.4
5970000 46035.5
5980000 46070.5
5990000 46142.3
6000000 46125
6010000 45991.5
6020000 46006.4
6030000 46024.3
6040000 46050.4
6050000 46137.7
6060000 45996.2
6070000 46158.1
6080000 46042.7
6090000 45919.4
6100000 46194.7
