# Time-averaged data for fix mype1
# TimeStep v_totPe
4100000 -419739
4110000 -419785
4120000 -419779
4130000 -419922
4140000 -419882
4150000 -419936
4160000 -420083
4170000 -420227
4180000 -420248
4190000 -420381
4200000 -420510
4210000 -420398
4220000 -420585
4230000 -420519
4240000 -420642
4250000 -420747
4260000 -420660
4270000 -420857
4280000 -420774
4290000 -420879
4300000 -421043
4310000 -421077
4320000 -421194
4330000 -421288
4340000 -421262
4350000 -421522
4360000 -421334
4370000 -421548
4380000 -421713
4390000 -421621
4400000 -421820
4410000 -421798
4420000 -421866
4430000 -421940
4440000 -421920
4450000 -422124
4460000 -422105
4470000 -422139
4480000 -422229
4490000 -422294
4500000 -422388
4510000 -422634
4520000 -422593
4530000 -422523
4540000 -422705
4550000 -422736
4560000 -422733
4570000 -422874
4580000 -423022
4590000 -423163
4600000 -422966
4610000 -423156
4620000 -423373
4630000 -423294
4640000 -423446
4650000 -423349
4660000 -423500
4670000 -423456
4680000 -423637
4690000 -423795
4700000 -423637
4710000 -423839
4720000 -423935
4730000 -424079
4740000 -424139
4750000 -424211
4760000 -424095
4770000 -424273
4780000 -424332
4790000 -424392
4800000 -424428
4810000 -424550
4820000 -424655
4830000 -424596
4840000 -424806
4850000 -424717
4860000 -424829
4870000 -424926
4880000 -425023
4890000 -425164
4900000 -425233
4910000 -425090
4920000 -425434
4930000 -425344
4940000 -425477
4950000 -425675
4960000 -425477
4970000 -425706
4980000 -425656
4990000 -425781
5000000 -425896
5010000 -425905
5020000 -426062
5030000 -426101
5040000 -426068
5050000 -426163
5060000 -426284
5070000 -426428
5080000 -426522
5090000 -426363
5100000 -426591
5110000 -426687
5120000 -426628
5130000 -426790
5140000 -426829
5150000 -426927
5160000 -426888
5170000 -427092
5180000 -427148
5190000 -427102
5200000 -427291
5210000 -427355
5220000 -427261
5230000 -427436
5240000 -427456
5250000 -427581
5260000 -427744
5270000 -427814
5280000 -427798
5290000 -427945
5300000 -427877
5310000 -428046
5320000 -428106
5330000 -428163
5340000 -428159
5350000 -428295
5360000 -428392
5370000 -428404
5380000 -428699
5390000 -428530
5400000 -428623
5410000 -428690
5420000 -428851
5430000 -428866
5440000 -428890
5450000 -429009
5460000 -429107
5470000 -429236
5480000 -429212
5490000 -429182
5500000 -429425
5510000 -429498
5520000 -429500
5530000 -429605
5540000 -429710
5550000 -429841
5560000 -429755
5570000 -429835
5580000 -429955
5590000 -430045
5600000 -430043
5610000 -430122
5620000 -430257
5630000 -430209
5640000 -430427
5650000 -430384
5660000 -430593
5670000 -430655
5680000 -430669
5690000 -430838
5700000 -430706
5710000 -430901
5720000 -430967
5730000 -430972
5740000 -430958
5750000 -431162
5760000 -431150
5770000 -431324
5780000 -431381
5790000 -431446
5800000 -431390
5810000 -431585
5820000 -431568
5830000 -431669
5840000 -431711
5850000 -431887
5860000 -431959
5870000 -432013
5880000 -432037
5890000 -432086
5900000 -432231
5910000 -432225
5920000 -432396
5930000 -432438
5940000 -432499
5950000 -432533
5960000 -432696
5970000 -432628
5980000 -432774
5990000 -432792
6000000 -432879
6010000 -433009
6020000 -433042
6030000 -433172
6040000 -433172
6050000 -433306
6060000 -433390
6070000 -433390
6080000 -433493
6090000 -433603
6100000 -433794
6110000 -433727
6120000 -433777
6130000 -433866
6140000 -433952
6150000 -434073
6160000 -434049
6170000 -434207
6180000 -434314
6190000 -434255
6200000 -434385
6210000 -434414
6220000 -434553
6230000 -434542
6240000 -434666
6250000 -434780
6260000 -434937
6270000 -434885
6280000 -434987
6290000 -435035
6300000 -434961
6310000 -435275
6320000 -435266
6330000 -435348
6340000 -435428
6350000 -435466
6360000 -435415
6370000 -435559
6380000 -435669
6390000 -435689
6400000 -435824
6410000 -435806
6420000 -435985
6430000 -436056
6440000 -436020
6450000 -436137
6460000 -436301
6470000 -436326
6480000 -436381
6490000 -436459
6500000 -436539
6510000 -436606
6520000 -436733
6530000 -436730
6540000 -436815
6550000 -436923
6560000 -437011
6570000 -437092
6580000 -437066
6590000 -437214
6600000 -437317
6610000 -437266
6620000 -437457
6630000 -437525
6640000 -437645
6650000 -437618
6660000 -437756
6670000 -437708
6680000 -437876
6690000 -437909
6700000 -437906
6710000 -438038
6720000 -438179
6730000 -438214
6740000 -438371
6750000 -438249
6760000 -438395
6770000 -438456
6780000 -438614
6790000 -438585
6800000 -438649
6810000 -438759
6820000 -438853
6830000 -438947
6840000 -438953
6850000 -439045
6860000 -439162
6870000 -439182
6880000 -439285
6890000 -439442
6900000 -439438
6910000 -439616
6920000 -439567
6930000 -439685
6940000 -439661
6950000 -439803
6960000 -439879
6970000 -439932
6980000 -440005
6990000 -440095
7000000 -440209
7010000 -440367
7020000 -440288
7030000 -440383
7040000 -440472
7050000 -440504
7060000 -440626
7070000 -440657
7080000 -440751
7090000 -440840
7100000 -440912
7110000 -441032
7120000 -441110
7130000 -441139
7140000 -441132
7150000 -441253
7160000 -441374
7170000 -441413
7180000 -441512
7190000 -441589
7200000 -441647
7210000 -441783
7220000 -441828
7230000 -441926
7240000 -442048
7250000 -442227
7260000 -442431
7270000 -442753
7280000 -443443
7290000 -444334
7300000 -445578
7310000 -446872
7320000 -448036
7330000 -449080
7340000 -449838
7350000 -450355
7360000 -450688
7370000 -450921
7380000 -451057
7390000 -451119
7400000 -451241
7410000 -451342
7420000 -451344
7430000 -451489
7440000 -451605
7450000 -451510
7460000 -451652
7470000 -451703
7480000 -451815
7490000 -451805
7500000 -451923
7510000 -451969
7520000 -452069
7530000 -452083
7540000 -452147
7550000 -452227
7560000 -452305
7570000 -452320
7580000 -452406
7590000 -452444
7600000 -452547
7610000 -452618
7620000 -452656
7630000 -452718
7640000 -452785
7650000 -452804
7660000 -452861
7670000 -452900
7680000 -452998
7690000 -453082
7700000 -453063
7710000 -453139
7720000 -453218
7730000 -453273
7740000 -453223
7750000 -453370
7760000 -453420
7770000 -453489
7780000 -453503
7790000 -453584
7800000 -453580
7810000 -453687
7820000 -453693
7830000 -453762
7840000 -453835
7850000 -453876
7860000 -453902
7870000 -454005
7880000 -453982
7890000 -454098
7900000 -454096
7910000 -454194
7920000 -454197
7930000 -454275
7940000 -454306
7950000 -454400
7960000 -454451
7970000 -454537
7980000 -454521
7990000 -454604
8000000 -454675
8010000 -454736
8020000 -454722
8030000 -454848
8040000 -454878
8050000 -454930
8060000 -454983
8070000 -455030
8080000 -455085
8090000 -455150
8100000 -455193
8110000 -455219
8120000 -455287
8130000 -455329
8140000 -455377
8150000 -455450
8160000 -455451
8170000 -455528
8180000 -455594
8190000 -455672
8200000 -455637
8210000 -455729
8220000 -455788
8230000 -455829
8240000 -455896
8250000 -455929
8260000 -455983
8270000 -456009
8280000 -456093
8290000 -456144
8300000 -456166
8310000 -456198
8320000 -456264
8330000 -456281
8340000 -456342
8350000 -456424
8360000 -456449
8370000 -456542
8380000 -456552
8390000 -456610
8400000 -456656
8410000 -456726
8420000 -456778
8430000 -456833
8440000 -456839
8450000 -456916
8460000 -456941
8470000 -456979
8480000 -457034
8490000 -457069
8500000 -457081
8510000 -457182
8520000 -457185
8530000 -457275
8540000 -457318
8550000 -457377
8560000 -457430
8570000 -457469
8580000 -457497
8590000 -457546
8600000 -457620
8610000 -457643
8620000 -457709
8630000 -457773
8640000 -457800
8650000 -457846
8660000 -457892
8670000 -457961
8680000 -457985
8690000 -458026
8700000 -458093
8710000 -458115
8720000 -458170
8730000 -458233
8740000 -458270
8750000 -458321
8760000 -458373
8770000 -458422
8780000 -458414
8790000 -458486
8800000 -458558
8810000 -458593
8820000 -458655
8830000 -458694
8840000 -458745
8850000 -458796
8860000 -458851
8870000 -458893
8880000 -458931
8890000 -458985
8900000 -459038
8910000 -459077
8920000 -459102
8930000 -459151
8940000 -459225
8950000 -459267
8960000 -459294
8970000 -459325
8980000 -459362
8990000 -459425
9000000 -459478
9010000 -459515
9020000 -459588
9030000 -459621
9040000 -459677
9050000 -459735
