# Time-averaged data for fix myat1
# TimeStep v_Toutput
3650000 2234.42
3660000 2235.21
3670000 2230.15
3680000 2228.16
3690000 2221.56
3700000 2221.1
3710000 2213.27
3720000 2216.68
3730000 2213.48
3740000 2210.92
3750000 2207.22
3760000 2196.68
3770000 2190.71
3780000 2200.36
3790000 2188.24
3800000 2192.09
3810000 2188.18
3820000 2184.89
3830000 2178.95
3840000 2174.31
3850000 2176.9
3860000 2172.9
3870000 2172.25
3880000 2171.95
3890000 2163.92
3900000 2161.52
3910000 2163.51
3920000 2152.9
3930000 2150.81
3940000 2148.18
3950000 2149.06
3960000 2138.94
3970000 2138.36
3980000 2138.87
3990000 2132.99
4000000 2133.24
4010000 2125.07
4020000 2120.96
4030000 2125.73
4040000 2122.96
4050000 2113.03
4060000 2110.16
4070000 2108.35
4080000 2108.79
4090000 2103.31
4100000 2096.28
4110000 2096.93
4120000 2096.73
4130000 2092.36
4140000 2090.18
4150000 2090.79
4160000 2084.23
4170000 2075.04
4180000 2076.01
4190000 2070.41
4200000 2063.48
4210000 2067.76
4220000 2060.11
4230000 2062.67
4240000 2058.37
4250000 2052.18
4260000 2056.06
4270000 2045.44
4280000 2050.6
4290000 2045.84
4300000 2041.58
4310000 2038.96
4320000 2032.47
4330000 2033.96
4340000 2029.18
4350000 2019.42
4360000 2025.87
4370000 2018.53
4380000 2008.71
4390000 2014.86
4400000 2006.03
4410000 2004.85
4420000 2004.89
4430000 1999.48
4440000 2000.87
4450000 1990.12
4460000 1996.72
4470000 1991.99
4480000 1986.67
4490000 1988.46
4500000 1978.82
4510000 1972.46
4520000 1972.25
4530000 1971.29
4540000 1967.13
4550000 1967.97
4560000 1963.87
4570000 1959.27
4580000 1954.03
4590000 1947.8
4600000 1952.53
4610000 1951.09
4620000 1936.6
4630000 1943.17
4640000 1936.09
4650000 1936.8
4660000 1936.08
4670000 1931.82
4680000 1921.05
4690000 1921.05
4700000 1923.62
4710000 1914.75
4720000 1914.41
4730000 1909.51
4740000 1900.91
4750000 1905.59
4760000 1904.69
4770000 1896.92
4780000 1899.37
4790000 1894.52
4800000 1888.82
4810000 1885.92
4820000 1884.86
4830000 1883.99
4840000 1873.49
4850000 1882.15
4860000 1874.19
4870000 1865.8
4880000 1864.7
4890000 1867.29
4900000 1855.25
4910000 1861.3
4920000 1851.83
4930000 1851.76
4940000 1847.84
4950000 1841.32
4960000 1843.24
4970000 1837.19
4980000 1839.17
4990000 1832.48
5000000 1831.83
5010000 1827.6
5020000 1821.9
5030000 1822.26
5040000 1819.86
5050000 1814.7
5060000 1812.47
5070000 1807.65
5080000 1805.14
5090000 1804.72
5100000 1799.96
5110000 1791.82
5120000 1797.25
5130000 1791.79
5140000 1785.58
5150000 1786.99
5160000 1783.52
5170000 1775.99
5180000 1775.08
5190000 1774.88
