# Time-averaged data for fix myke1
# TimeStep v_totKe
3730000 30900.1
3740000 30864.3
3750000 30812.8
3760000 30665.5
3770000 30582.3
3780000 30716.9
3790000 30547.8
3800000 30601.5
3810000 30546.9
3820000 30500.9
3830000 30418.1
3840000 30353.3
3850000 30389.5
3860000 30333.5
3870000 30324.5
3880000 30320.4
3890000 30208.3
3900000 30174.7
3910000 30202.5
3920000 30054.4
3930000 30025.3
3940000 29988.5
3950000 30000.8
3960000 29859.6
3970000 29851.4
3980000 29858.5
3990000 29776.5
4000000 29780
4010000 29666
4020000 29608.5
4030000 29675.1
4040000 29636.5
4050000 29497.8
4060000 29457.7
4070000 29432.5
4080000 29438.6
4090000 29362.1
4100000 29264
4110000 29273.1
4120000 29270.2
4130000 29209.3
4140000 29178.8
4150000 29187.4
4160000 29095.8
4170000 28967.5
4180000 28981
4190000 28902.8
4200000 28806
4210000 28865.9
4220000 28759.1
4230000 28794.9
4240000 28734.8
4250000 28648.4
4260000 28702.6
4270000 28554.3
4280000 28626.2
4290000 28559.9
4300000 28500.4
4310000 28463.8
4320000 28373.2
4330000 28394
4340000 28327.3
4350000 28191
4360000 28281.1
4370000 28178.6
4380000 28041.5
4390000 28127.4
4400000 28004
4410000 27987.7
4420000 27988.1
4430000 27912.6
4440000 27932.1
4450000 27782.1
4460000 27874.2
4470000 27808.1
4480000 27733.9
4490000 27758.8
4500000 27624.2
4510000 27535.5
4520000 27532.6
4530000 27519.2
4540000 27461
4550000 27472.7
4560000 27415.6
4570000 27351.3
4580000 27278.3
4590000 27191.3
4600000 27257.3
4610000 27237.1
4620000 27034.8
4630000 27126.6
4640000 27027.7
4650000 27037.6
4660000 27027.6
4670000 26968.1
4680000 26817.8
4690000 26817.8
4700000 26853.6
4710000 26729.9
4720000 26725
4730000 26656.7
4740000 26536.7
4750000 26602
4760000 26589.4
4770000 26480.9
4780000 26515.2
4790000 26447.4
4800000 26367.8
4810000 26327.4
4820000 26312.5
4830000 26300.5
4840000 26153.9
4850000 26274.8
4860000 26163.6
4870000 26046.4
4880000 26031.2
4890000 26067.4
4900000 25899.2
4910000 25983.6
4920000 25851.5
4930000 25850.6
4940000 25795.8
4950000 25704.7
4960000 25731.6
4970000 25647
4980000 25674.7
4990000 25581.3
5000000 25572.3
5010000 25513.2
5020000 25433.7
5030000 25438.7
5040000 25405.1
5050000 25333.2
5060000 25302
5070000 25234.7
5080000 25199.6
5090000 25193.8
5100000 25127.4
5110000 25013.8
5120000 25089.6
5130000 25013.3
5140000 24926.6
5150000 24946.3
5160000 24897.9
5170000 24792.7
5180000 24780.1
5190000 24777.3
5200000 24711.4
5210000 24691.1
5220000 24642.4
5230000 24629.1
5240000 24566.1
5250000 24509.5
5260000 24428.6
5270000 24368
5280000 24335.5
5290000 24345.9
5300000 24350
5310000 24223.4
5320000 24217.2
5330000 24162.9
5340000 24152.8
5350000 24075.6
5360000 24056.5
5370000 23985.1
5380000 23905.5
5390000 23941.3
5400000 23854.5
5410000 23875.2
5420000 23842.1
5430000 23734.9
5440000 23751.9
5450000 23664.7
5460000 23641.8
5470000 23497.8
5480000 23515.6
5490000 23601.4
5500000 23439.5
5510000 23385.6
5520000 23361.7
5530000 23322.4
5540000 23255.1
5550000 23167.8
5560000 23252.6
5570000 23172.1
5580000 23076.8
5590000 23064.9
5600000 23017.9
5610000 22966.4
5620000 22974.7
5630000 22906.8
5640000 22843
5650000 22862
5660000 22731.5
5670000 22728.1
5680000 22738.9
5690000 22587.4
5700000 22646.9
5710000 22606.7
5720000 22517.5
5730000 22515.1
5740000 22507.2
5750000 22374.5
5760000 22397.6
5770000 22316.3
5780000 22239.4
5790000 22212.2
5800000 22253.7
5810000 22132.5
5820000 22110.2
5830000 22100.1
5840000 22050.4
5850000 21990
5860000 21925
5870000 21904.7
5880000 21902
5890000 21859.9
5900000 21762.3
5910000 21790.9
5920000 21694.2
5930000 21651.7
5940000 21593.9
5950000 21595.1
5960000 21542.1
5970000 21520.4
5980000 21437.3
5990000 21454.4
6000000 21370.7
6010000 21371.2
6020000 21291.7
6030000 21216.1
6040000 21255.1
6050000 21136.3
6060000 21048.1
6070000 21091.6
6080000 21004.1
6090000 20972.1
6100000 20900.2
6110000 20896.7
6120000 20869
6130000 20839.6
6140000 20774.1
6150000 20668.1
6160000 20671.3
6170000 20629.1
6180000 20564.6
6190000 20559.6
6200000 20550.9
6210000 20484.6
6220000 20458.7
6230000 20462
6240000 20344.3
6250000 20312.3
6260000 20217.5
6270000 20268.3
6280000 20159.6
6290000 20170.3
6300000 20118.3
6310000 19996.4
6320000 20031.2
6330000 19961.1
6340000 19928.2
6350000 19885.5
6360000 19891.9
6370000 19852
6380000 19770.8
6390000 19713.9
6400000 19736.7
6410000 19686.7
6420000 19585
6430000 19569.2
6440000 19571.6
6450000 19480.5
6460000 19442.3
6470000 19382.7
6480000 19395.9
6490000 19308.6
6500000 19277.8
6510000 19261.7
6520000 19173.5
6530000 19174.6
6540000 19080.9
6550000 19045.1
6560000 18988.3
6570000 18935.9
6580000 18967.4
6590000 18872.2
6600000 18822
6610000 18895.6
6620000 18721.5
6630000 18740.9
6640000 18644.4
6650000 18625.5
6660000 18576.3
6670000 18643.1
6680000 18515.1
6690000 18432.9
6700000 18494
6710000 18417.1
6720000 18332.4
6730000 18296.7
6740000 18216.8
6750000 18279.2
6760000 18234.8
6770000 18104.4
6780000 18089.5
6790000 18083.9
6800000 18004.7
6810000 18012.4
6820000 17944
6830000 17900.9
6840000 17853.1
6850000 17809.1
6860000 17770.5
6870000 17744.9
6880000 17642.2
6890000 17643.9
6900000 17587.3
6910000 17550.6
6920000 17531.7
6930000 17443.4
6940000 17506.2
6950000 17368
6960000 17365.9
6970000 17300.2
6980000 17296.7
6990000 17205.7
7000000 17177.2
7010000 17105.7
7020000 17124.1
7030000 17092.8
7040000 16980.7
7050000 16993.2
7060000 16959.8
7070000 16885.5
7080000 16817.6
7090000 16822.1
7100000 16767.5
7110000 16717.6
7120000 16614.4
7130000 16611.1
7140000 16642.5
7150000 16571.7
7160000 16495.8
7170000 16476.4
7180000 16411.4
7190000 16412
7200000 16318.4
7210000 16269.1
7220000 16269.8
7230000 16224.2
7240000 16140.5
7250000 16083.3
7260000 16076.1
7270000 16053.6
7280000 16053.3
7290000 16016.2
7300000 16005.4
7310000 15920.6
7320000 15880.3
7330000 15829.8
7340000 15775.6
7350000 15722.7
7360000 15674.7
7370000 15624.3
7380000 15555.9
7390000 15534.3
7400000 15524.6
7410000 15414
7420000 15423.2
7430000 15364.7
7440000 15257
7450000 15354.5
7460000 15244.6
7470000 15206.2
7480000 15157.6
7490000 15155.7
7500000 15068.7
7510000 15079.7
7520000 14975
7530000 14991.3
7540000 14932.8
7550000 14868.9
7560000 14814.2
7570000 14807.2
7580000 14764.6
7590000 14712
7600000 14649.2
7610000 14615.6
7620000 14561.5
7630000 14555.4
7640000 14484.1
7650000 14458.8
7660000 14450
7670000 14395.1
7680000 14308.4
7690000 14276.8
7700000 14262.6
7710000 14220.9
7720000 14166.7
7730000 14103.7
7740000 14154
7750000 14038.7
7760000 13975.6
7770000 13943.5
7780000 13928.7
7790000 13853.2
7800000 13870.9
7810000 13757.6
7820000 13760.9
7830000 13725.3
7840000 13648.3
7850000 13619
7860000 13600.9
7870000 13516
7880000 13531
7890000 13436.7
7900000 13439.6
7910000 13344.9
7920000 13375.2
7930000 13290.9
7940000 13271.7
7950000 13206.4
7960000 13146.8
7970000 13084.1
7980000 13113.1
7990000 13034.9
8000000 12981.5
8010000 12940.9
