# LAMMPS data file written by OVITO Pro 3.11.1

17969 atoms
3 atom types

0.0 244.2779652866 xlo xhi
0.0 244.124271321 ylo yhi
0.0 200.0 zlo zhi

Masses

1 59.0
2 55.8
3 58.7

Atoms  # atomic

7863 2 113.6818683197 118.07089476 64.4992562579 0 0 0
12752 3 117.337286102 116.8964569363 64.2898575205 0 0 0
11784 3 108.4869737593 123.5952911459 66.6024281394 0 0 0
14077 3 115.9445642205 126.3876261067 64.2462045816 0 0 0
1239 3 112.4704671557 125.1536507347 63.1368544327 0 0 0
1296 1 114.2454742141 120.9543638048 65.2425847267 0 0 0
5548 1 116.8426768923 124.4136813674 63.3827149327 0 0 0
13301 2 118.6079869575 126.6588696767 62.5886922532 0 0 0
11879 2 119.6418202031 124.1441898964 63.4186138767 0 0 0
11050 1 121.1276886667 122.2508000697 65.261554444 0 0 0
9684 1 120.6822091282 126.0898664531 67.353933829 0 0 0
4581 2 108.2010653538 131.0310927522 66.2772853809 0 0 0
6134 3 112.7641291445 132.2148640395 63.6595952675 0 0 0
16081 2 108.4207091522 126.2586929254 65.2721897545 0 0 0
17397 3 113.9859777459 127.9381592834 63.1282728237 0 0 0
8341 2 112.0476001159 128.1415314352 64.5581860167 0 0 0
7054 2 117.257835209 128.4030727664 63.3158707458 0 0 0
5410 1 115.7528211186 132.0901722522 66.154772272 0 0 0
14681 2 115.0912188161 130.0503937765 63.3203659661 0 0 0
6799 1 115.5226031816 126.8191921168 62.1334941552 0 0 0
11521 1 113.8103213968 125.6255035267 64.9518422361 0 0 0
12657 2 110.7851511735 133.8742920678 64.5446787582 0 0 0
848 1 113.4565558372 129.9996394669 64.8443252254 0 0 0
13873 1 114.2874932205 127.7307796401 65.9845612533 0 0 0
2830 1 116.2472401742 129.5175825296 65.2720347 0 0 0
16506 3 120.2342625674 126.9381873789 64.7936961986 0 0 0
7340 1 120.1664179071 131.873744309 66.1786613984 0 0 0
2838 1 118.1452627531 125.5597366755 64.8149109382 0 0 0
16765 1 119.9937608781 129.469864458 64.2226025414 0 0 0
13290 2 118.3468162808 131.2063665081 64.563922744 0 0 0
354 3 118.5464846299 135.0390666912 64.8344599663 0 0 0
3370 2 114.6459657751 135.7225756511 62.9398837736 0 0 0
14952 2 116.077837975 134.1928958509 64.6542174832 0 0 0
3347 2 116.8174749314 136.4148169369 63.734132518 0 0 0
809 2 114.7108204995 138.5876823673 63.6028562681 0 0 0
1334 2 119.0868294455 102.0658829032 71.4560940841 0 0 0
5728 2 103.6424800337 107.90873859 73.8660415954 0 0 0
16344 1 111.5922667482 105.0176122782 69.9710083616 0 0 0
4812 1 110.0135694942 112.1043055958 68.8981255838 0 0 0
13530 3 108.6772512433 107.6859405905 71.1109467178 0 0 0
5709 1 109.0825009784 109.8658283683 70.3097536159 0 0 0
8203 1 106.5423556192 109.8230808316 69.9679034653 0 0 0
1315 2 111.3612954007 110.1706784986 70.1010999463 0 0 0
3579 3 112.360819659 111.5056963661 71.5118100238 0 0 0
51 2 105.3805226084 111.7926456574 70.5786006406 0 0 0
9707 2 113.3837277988 106.7250317812 69.5543390079 0 0 0
11620 2 112.9733756006 112.7593865309 69.2627752001 0 0 0
8219 3 112.8519455041 105.9451720588 72.1002036311 0 0 0
8000 3 111.2180514539 107.6746959898 70.9942604065 0 0 0
16127 2 115.1895452556 101.7931464866 72.7002463354 0 0 0
6453 3 114.7703258683 111.8509636725 67.4137691939 0 0 0
2049 2 116.1864334824 106.5954966847 70.0889056819 0 0 0
17537 2 116.3656360223 105.6741144443 72.2527267162 0 0 0
2583 1 117.5268632932 110.5229234114 70.8341605959 0 0 0
