# LAMMPS data file written by OVITO Basic 3.11.2

40000 atoms
2 atom types

-0.0322062552 126.8254437654 xlo xhi
-23.7503564017 55.4003563946 ylo yhi
-0.0128563981 158.2885691944 zlo zhi

Atom Type Labels

1 W
2 Mo

Masses

1 183.85  # W
2 95.94  # Mo

Atoms  # atomic

427 2 9.381 3.29998 6.34706
429 1 12.6089 3.28825 6.3182
210 2 14.1087 1.62952 4.69113
431 1 15.8028 3.26429 6.31273
212 2 17.3559 1.66245 4.85715
433 1 18.9191 3.29052 6.3983
214 2 20.5618 1.63662 4.92048
435 2 22.1743 3.25071 6.35816
216 1 23.7125 1.5932 4.64253
417 2 25.361 0.0651089 6.22428
218 1 26.9974 1.50419 4.79937
437 2 25.3375 3.0447 6.2474
220 1 30.106 1.64509 4.78668
439 1 28.4659 3.1108 6.33592
5421 2 31.6402 3.08061 6.34293
441 1 -0.0136265 6.42321 6.34762
222 1 1.54029 4.80101 4.74137
443 1 3.23036 6.4869 6.29287
242 2 1.54128 7.92683 4.70441
224 1 4.73265 4.81022 4.68089
445 2 6.34832 6.39611 6.35001
244 1 4.76469 7.95781 4.72137
226 1 7.93926 4.84864 4.71657
246 2 7.9428 7.966 4.72527
447 1 9.47409 6.47092 6.31346
228 2 11.0171 4.88562 4.73769
248 1 11.1338 8.0195 4.78266
449 1 12.6816 6.3803 6.26125
230 2 14.2171 4.84292 4.73477
451 2 15.9106 6.40282 6.21661
232 2 17.4101 4.77398 4.76081
453 1 18.9723 6.36353 6.36026
234 1 20.5541 4.80755 4.70097
455 2 22.1937 6.3181 6.32593
254 2 20.5111 7.9059 4.72776
256 1 23.6652 7.94502 4.76286
236 1 23.7677 4.7131 4.64152
238 2 26.8913 4.72605 4.70864
457 1 25.3379 6.26513 6.19041
258 1 26.9732 7.79408 4.69348
240 1 30.104 4.63084 4.79171
459 2 28.5371 6.31964 6.32345
1319 2 28.4571 15.8068 18.9403
260 2 30.0827 7.83592 4.62945
262 1 1.53877 11.123 4.72941
463 1 3.14255 9.56644 6.36693
264 2 4.74519 11.1861 4.61419
465 1 6.2898 9.45803 6.37899
266 2 7.99134 11.0679 4.66965
467 1 9.50557 9.4483 6.28952
268 2 11.0385 11.1318 4.71456
250 1 14.2231 7.99878 4.69426
270 1 14.2337 11.1092 4.68812
469 2 12.7348 9.54245 6.34327
252 1 17.3951 7.98665 4.64947
471 2 15.8571 9.56161 6.24611
473 2 19.0044 9.50397 6.28713
272 1 17.4018 11.1077 4.61647
475 1 22.1519 9.45296 6.29088
274 1 20.6488 11.1269 4.68568
276 2 23.8321 11.0863 4.65054
278 1 26.9388 11.0813 4.65821
477 1 25.4038 9.41259 6.19302
479 2 28.5232 9.39021 6.32286
280 2 30.188 11.0115 4.69983
421 2 -0.0286500206 3.26121 6.39911
41 1 126.835 6.34092 158.3105538026
282 2 1.59186 14.3687 4.67101
483 1 3.16089 12.6948 6.2323
284 1 4.74741 14.2949 4.7072
485 1 6.35319 12.6644 6.27411
241 2 -0.0016500206 6.29534 3.14586
286 1 7.91534 14.2163 4.74149
1281 1 -0.0316500206 12.7004 18.9649
288 1 11.079 14.2752 4.74036
487 1 9.52703 12.756 6.36148
489 1 12.6416 12.7137 6.32158
290 2 14.182 14.195 4.75832
491 2 15.8466 12.7402 6.24817
292 2 17.3807 14.3645 4.62681
493 2 19.0081 12.6853 6.17866
515 1 22.2254 15.7814 6.33008
294 1 20.5514 14.363 4.72274
495 1 22.2146 12.6948 6.27602
517 2 25.4206 15.7326 6.24781
296 2 23.7797 14.231 4.71085
497 1 25.3773 12.632 6.28994
298 1 26.9193 14.2484 4.60608
499 1 28.5298 12.5604 6.21895
300 2 30.126 14.1044 4.67163
5481 2 31.5501 12.6487 6.31764
603 2 3.10838 0.0908183 9.33044
402 1 1.54872 1.79114 7.97144
